Суши Токио, суши-бар;;+7 (967) 087-88-87, +7 (968) 087-88-87;Школьная ул., 1А, д. Горчаково;gortokyo.com;55.521 37.217;cafe
Fantasy, служба доставки готовых блюд;+7 (495) 532-20-70, +7 (495) 532-36-30;;Россия, Москва, поселение Десеновское, Нововатутинский проспект, 13;vatutinki.sushifantasy.ru , sushifantasy.ru;55.520 37.348;cafe
Peri, ресторан;+7 (495) 740-25-32, +7 (495) 185-08-38;+7 (926) 896-83-13, +7 (925) 234-07-00;Москва, поселение Десеновское, 6-я Нововатутинская улица, 2;peri.restaurant;55.514 37.351;cafe
Суши wok, магазин суши;+7 (499) 754-44-44;;Москва, поселение Десеновское, 6-я Нововатутинская улица, 1;;55.515 37.352;cafe
Алло! Пицца, сеть пиццерий;+7 (495) 172-49-35;;Россия, Москва, поселение Десеновское, 3-я Нововатутинская улица, 11;allopizza.su;55.519 37.346;cafe
Манты дома;;+7 (916) 541-70-00;Россия, Москва, поселение Десеновское, 6-я Нововатутинская улица, 3;mantidoma.ru;55.515 37.354;cafe
Ланч панч, кафе-магазин;;+7 (926) 371-35-93;Россия, Москва, поселение Десеновское, 1-я Нововатутинская улица, 5;;55.519 37.356;cafe
Я люблю гриль, кафе;;+7 (965) 247-55-77, +7 (963) 679-55-50;Россия, Москва, поселение Десеновское, 1-я Нововатутинская улица, 5;ilovegril.ru;55.519 37.356;cafe
Hungry wolf bar, кафе-бар;;+7 (925) 011-37-47, +7 (910) 081-75-55;1-я Нововатутинская улица, 1;hwbar.ru;55.515 37.357;cafe
Хинкали-Gали!;;+7 (980) 463-61-30, +7 (985) 128-03-40, +7 (925) 564-66-82, +7 (926) 958-89-78, +7 (926) 066-72-21, +7 (917) 544-99-31, +7 (926) 133-76-74, +7 (916) 869-80-69, +7 (915) 146-00-68, +7 (917) 544-88-79;Москва, поселение Десёновское, Футбольная улица, 17;hinkaligali.ru;55.514 37.372;cafe
Здрасте;;+7 (966) 338-18-81;Москва, поселение Десеновское, 1-я Нововатутинская улица, 5;zdrastecafe.ru;55.519 37.354;cafe
Вкусно ем;;+7 (977) 994-20-12;Россия, Москва, поселение Десеновское, 1-я Нововатутинская улица, 5;;55.520 37.354;cafe
Stopexpress;;+7 (925) 912-80-62;Рябиновая ул., вл17с1, д. Десна;stopexpress.ru;55.526 37.387;cafe
Десна, кафе-пекарня;;+7 (977) 141-00-88, +7 (965) 295-08-64;Центральная ул., 135, д. Десна;;55.529 37.388;cafe
Roll-n-Beer – Pub & Cafe;+7 (495) 764-81-14;;39, посёлок подсобного хозяйства Воскресенское;roll-n-beer.com;55.532 37.447;cafe
Солёная карамель, семейное кафе;;+7 (999) 963-87-15;Чечёрский проезд, 122 к1;me-menu.com , me-menu.ru;55.525 37.515;cafe
Нияма, японский ресторан;+7 (495) 132-04-44;+7 (968) 529-63-10;Москва, поселение Воскресенское, Чечёрский проезд, 51;niyama.ru;55.525 37.517;cafe
Доннерия, кафе грузинской кухни;+7 (495) 968-33-80;+7 (965) 309-44-89;Москва, поселение Воскресенское, Чечёрский проезд, 51;vanovaso.ru;55.525 37.517;cafe
KFC, ресторан быстрого обслуживания;+7 (495) 981-27-94;;Москва, поселение Воскресенское, Чечёрский проезд, 51;kfc.ru;55.525 37.518;cafe
ShashlikButovo1, кафе;;+7 (969) 197-55-57, +7 (910) 013-93-93;Чечёрский проезд, 25;shashlikbutovo1.ru;55.530 37.528;cafe
Бургер Клаб;+7 (495) 740-22-44;+7 (910) 005-31-04;Россия, Москва, поселение Воскресенское, Чечёрский проезд, 51;burgerclub.com , burgerclub.ru;55.525 37.518;cafe
Шоколадница;;+7 (926) 640-79-82;Москва, поселение Воскресенское, Чечёрский проезд, 51;shoko.ru;55.525 37.518;cafe
Апрель, семейный ресторан;;+7 (977) 806-05-50;ул. Семёна Гордого, 1, д. Ивановское;aprelrest.ru;55.545 37.155;cafe
Batumi домашняя грузинская кухня;+7 (495) 120-20-62;+7 (968) 068-20-20;Рабочая ул., 6Б, посёлок Первомайское;batumi-food.ru;55.539 37.154;cafe
Орэо;;+7 (936) 621-75-88, +7 (901) 469-52-10;ул. Семёна Гордого, 3, д. Ивановское;salonoreo.ru;55.545 37.154;cafe
Kitchen, семейное кафе;;+7 (929) 558-78-88, +7 (925) 388-55-58, +7 (925) 759-00-10, +7 (926) 020-06-60, +7 (926) 021-08-80, +7 (926) 102-07-72, +7 (926) 109-01-10, +7 (926) 124-05-50, +7 (926) 146-02-20, +7 (926) 147-03-30;Александры Монаховой улица, 88 к1;cafe-kitchen.ru;55.544 37.487;cafe
Буханка, пекарня;;+7 (962) 918-26-60;ул. Александры Монаховой, 90, корп. 3, посёлок Коммунарка;buhanka.ru;55.543 37.482;cafe
5+, хинкальная;;+7 (924) 160-70-07, +7 (991) 951-24-14, +7 (977) 408-70-75;ул. Александры Монаховой, 90, корп. 2, посёлок Коммунарка;khinkalnaya5plus.ru;55.544 37.482;cafe
О! Суши;+7 (499) 490-10-00;;ул. Александры Монаховой, 98, корп. 3, посёлок Коммунарка;osushi.su , kom.osushi.su;55.540 37.483;cafe
Здрасте кофе, кофейня;;+7 (996) 864-76-41;ул. Александры Монаховой, 90, корп. 1, посёлок Коммунарка;zdrastecafe.ru;55.543 37.484;cafe
Пират пицца, пиццерия;+7 (495) 215-21-21;+7 (926) 905-07-34;ул. Александры Монаховой, 98, корп. 1, посёлок Коммунарка;pizzapirat.ru;55.541 37.485;cafe
Моя Хинкальная, кафе;;+7 (977) 571-08-77;ул. Александры Монаховой, 98, корп. 1, посёлок Коммунарка;мояхинкальная.рф;55.541 37.485;cafe
Алиса, семейное лофт-кафе;;+7 (919) 993-17-78;ул. Александры Монаховой, 96, корп. 2, посёлок Коммунарка;alisa-loft-cafe.ru;55.541 37.486;cafe
Место, кафе;;+7 (995) 001-43-03;ул. Александры Монаховой, 96, корп. 2, посёлок Коммунарка;;55.541 37.486;cafe
Zen sushi, кафе быстрого обслуживания;+7 (499) 348-19-68;;ул. Александры Монаховой, 88, корп. 1, посёлок Коммунарка;zen-cafe.ru;55.544 37.487;cafe
Китчен;;+7 (926) 779-07-70;ул. Александры Монаховой, 88, корп. 1, посёлок Коммунарка;cafe-kitchen.ru;55.544 37.487;cafe
Киносам;+7 (495) 517-87-67;;ул. Александры Монаховой, 92, корп. 1, посёлок Коммунарка;kinosam.com;55.543 37.488;cafe
Азбука вкуса, супермаркет;+7 (495) 223-02-44, +7 (495) 504-34-78, +7 (495) 504-34-87, +7 (495) 223-02-00;;ул. Академика Понтрягина, 14, Москва;;55.533 37.498;cafe
Пиццерия FullFox - Неаполитанская пицца;+7 (495) 646-09-96;;Россия, Москва, поселение Сосенское, улица Александры Монаховой, 95, корп. 3;fullfox.pizza;55.542 37.492;cafe
Sergio pizza, кафе-пиццерия;+7 (496-54) 9-70-70, +7 (495) 221-92-22;+7 (925) 230-30-30, +7 (965) 131-33-33, +7 (925) 500-55-00;ул. Потаповская Роща, 4, корп. 2, посёлок Коммунарка;sergiopizza.ru;55.546 37.495;cafe
Алло! Пицца, сеть пиццерий;+7 (495) 172-58-03;;СНТ Гавриково-1, 265а;allopizza.su;55.544 37.509;cafe
Песок да щебень, компания;;+7 (958) 578-04-25, +7 (903) 186-24-43, +7 (906) 099-03-47;ул. Адмирала Руднева, 4, Москва;pesok-da-sheben.ru;55.544 37.526;cafe
Чашка, бар;+7 (495) 714-57-18, +7 (495) 714-10-81;+7 (916) 190-33-26, +7 (926) 680-13-06;ул. Академика Семёнова, 3, Москва;chashkafe.ru;55.543 37.512;cafe
The мясо, кафе быстрого питания;;+7 (920) 685-85-85, +7 (985) 677-55-55;Южнобутовская ул., 70, Москва;grillzheldor.ru , the-myaso-butovo.ru;55.535 37.522;cafe
Кафе Чайхана Дюшес;+7 (499) 347-03-39, +7 (495) 220-99-88, +7 (495) 789-36-56, +7 (499) 325-54-08, +7 (499) 444-36-07;+7 (987) 192-98-11, +7 (985) 220-99-88;Бартеневская ул., 39, Москва;dushes-cafe.ru;55.548 37.523;cafe
Сеть поминальных залов;+7 (495) 792-61-66, +7 (495) 799-39-11;+7 (965) 317-34-84;ул. Академика Семёнова, 3, Москва;napominki.ru;55.543 37.512;cafe
44-чашма, чайхана;;+7 (903) 236-30-11;Южнобутовская ул., 97, Москва;chaihona44chashma.business.site;55.534 37.521;cafe
Зелёный мыс, ресторан;+7 (495) 714-31-09;+7 (905) 798-13-60, +7 (925) 142-65-38;Южнобутовская ул., 75, Москва;zelenyy-mys.ru;55.535 37.526;cafe
Италония, ресторан;+7 (495) 714-66-66, +7 (495) 714-44-44;;Южнобутовская ул., 69, Москва;италония.рф;55.535 37.528;cafe
Пепела, кафе;+7 (499) 940-62-17;+7 (906) 038-63-33;Чечёрский пр., 52, корп. 1, Москва;cafe-pepela.ru;55.534 37.530;cafe
Матча суши&bento, магазин суши;;+7 (929) 936-60-27;Венёвская ул., 6, Москва;matchasushi.ru;55.548 37.544;cafe
Бакинские вечера, ресторан;+7 (495) 648-44-33, +7 (499) 343-26-42;;ул. Адмирала Лазарева, 24, Москва;bakinskie-vechera.ru;55.547 37.533;cafe
Кампания, крафтовый бар;;+7 (985) 940-32-02;Южнобутовская ул., 44, Москва;;55.539 37.536;cafe
KFC, ресторан быстрого обслуживания;;+7 (963) 630-49-73;Венёвская ул., 6, Москва;kfc.ru;55.548 37.543;cafe
Изи паб, кафе-бар;+7 (495) 777-39-54;;Венёвская ул., 6, Москва;easy-pub.ru , easypub.ru;55.548 37.544;cafe
Глостер;;+7 (985) 184-90-90;бул. Адмирала Ушакова, 12, Москва;glosterbar.ru;55.548 37.551;cafe
Полная кружка, пивной бар;+7 (499) 940-63-09, +7 (495) 347-98-29, +7 (499) 940-47-76, +7 (495) 676-05-89, +7 (499) 530-52-51;;бульвар Адмирала Ушакова, 5;polnayakruzhka.ru;55.547 37.553;cafe
Шоколадница, кофейня;;+7 (915) 473-99-17;Скобелевская ул., 14, Москва;shoko.ru;55.549 37.554;cafe
Маленькая пекарня Журавлевых;;+7 (977) 889-94-18, +7 (977) 939-80-94, +7 (925) 619-72-65;Скобелевская ул., 20, Москва;littlebakery.ru;55.547 37.555;cafe
Baza;;+7 (936) 777-97-27;Россия, Москва, поселение Марушкинское, квартал № 165;baza-pizzagrill.ru;55.568 37.234;cafe
Tennis.ru, кафе;+7 (495) 150-55-99;+7 (903) 556-44-44;Малая Летовская ул., 8, д. Летово;tennis.ru;55.570 37.410;cafe
SomeMeat, мясной ресторан;+7 (495) 105-11-11;;Сосновая ул., 1Б, д. Сосенки;somemeat.rest;55.568 37.447;cafe
Florentini city, ресторан;+7 (495) 201-26-01;+7 (926) 325-53-53;Сосновая ул., 3Б, д. Сосенки;florentinicafe.ru;55.570 37.449;cafe
Сунакку, кафе быстрого питания;;+7 (966) 161-61-63, +7 (985) 798-65-41;Сосновая ул., 6, д. Сосенки;sunakku.ru;55.572 37.452;cafe
ЛавШаш;;+7 (906) 555-87-87;Россия, Москва, поселение Сосенское, квартал № 50;lavshash.com , лавшаш.рф;55.565 37.445;cafe
Таверна на Дубровке, ресторан;+7 (495) 761-14-24;+7 (965) 153-51-11, +7 (985) 761-14-24, +7 (915) 156-51-11;деревня Сосенки, 25в;taverna-nd.ru;55.566 37.445;cafe
Bbs, ресторан-бар японской кухни;;+7 (968) 525-52-51, +7 (926) 277-52-51;Лазурная, 10;foodpicasso.com;55.568 37.472;cafe
Территория десертов, кондитерская мастерская;;+7 (977) 100-00-95;Ясная ул., 1, посёлок Коммунарка;territoria-desertov.ru , clck.ru;55.570 37.476;cafe
Мед, кафе;;+7 (977) 386-21-80;ул. Сосенский Стан, 17, посёлок Коммунарка;medcaffe.ru;55.565 37.476;cafe
Seoul station, лаундж-кафе;+7 (495) 792-49-24;+7 (925) 999-09-00;Москва, поселение Сосенское, проспект Магеллана, 3;seoulstation.ru;55.590 37.446;cafe
Макитория;+7 (495) 786-01-26;;ул. Липовый Парк, 11, посёлок Коммунарка;;55.566 37.486;cafe
Термос, семейное кафе;;+7 (903) 713-81-38;ул. Липовый Парк, 7, посёлок Коммунарка;;55.569 37.491;cafe
БарБирШоп;;+7 (985) 927-28-38;Лазурная ул., 10, посёлок Коммунарка;foodpicasso.com;55.568 37.472;cafe
СуперСуши. Клаб;;+7 (910) 445-63-40;9А, посёлок Коммунарка;supersushi.club;55.571 37.476;cafe
Al parco bistro, кафе;;+7 (999) 663-39-94;ул. Липовый Парк, 10А, посёлок Коммунарка;alparco.ru;55.568 37.486;cafe
Буханка, пекарня;;+7 (903) 513-71-48;ул. Липовый Парк, 8, корп. 2, посёлок Коммунарка;buhanka.ru;55.570 37.488;cafe
Липа Бар, гастробар;+7 (495) 925-16-72;+7 (985) 925-16-72;ул. Липовый Парк, 8, корп. 2, посёлок Коммунарка;lipabar.ru;55.570 37.488;cafe
Сова;;+7 (968) 079-86-99;ул. Липовый Парк, 6, посёлок Коммунарка;;55.570 37.490;cafe
Кера, кафе-хинкальная;;+7 (926) 174-21-12;ул. Липовый Парк, 5, корп. 1, посёлок Коммунарка;cafekera.ru;55.569 37.491;cafe
Max, бургер-бар;;+7 (916) 000-88-25;Россия, Москва, поселение Сосенское, Скандинавский бульвар, 6;maxburgerbar.ru;55.567 37.497;cafe
Чвени, хинкальная;;+7 (977) 338-72-27;ул. Липовый Парк, 4, корп. 1, посёлок Коммунарка;chveni.ru;55.570 37.492;cafe
Soletto family restaurant;+7 (495) 545-05-50;+7 (991) 102-21-99;ул. Липовый Парк, 4, корп. 3, посёлок Коммунарка;solettorest.ru;55.571 37.492;cafe
Proxima cafe&bar;;+7 (968) 954-44-49, +7 (968) 945-55-51;ул. Липовый Парк, 5, корп. 1, посёлок Коммунарка, Россия;;55.570 37.493;cafe
Шаурма&бургер, кафе быстрого питания;;+7 (906) 774-16-18, +7 (916) 198-74-78, +7 (995) 509-64-39, +7 (925) 722-92-12, +7 (985) 095-11-20, +7 (999) 444-61-09;ул. Липовый Парк, 5, корп. 1, посёлок Коммунарка;shaurmaburger.com;55.569 37.493;cafe
Mix cafe, фитнес-кафе;+7 (499) 333-40-40;;ул. Липовый Парк, 2А, посёлок Коммунарка;cafemix.ru , shalecafe.ru;55.571 37.493;cafe
PhoBo, кафе вьетнамской кухни;+7 (495) 124-81-30, +7 (495) 215-11-99;;ул. Александры Монаховой, 61, стр. 1, посёлок Коммунарка;phobo.cafe;55.557 37.494;cafe
Richman Lounge, центр паровых коктейлей;;+7 (968) 404-17-17, +7 (965) 404-41-41;Москва, поселение Сосенское, Скандинавский бульвар, 5, корп. 2;richmanlounge.ru;55.565 37.500;cafe
Июль, гастробар;;+7 (995) 150-07-70, +7 (985) 639-07-07;ул. Поляны, 5, Москва;julygastro.ru;55.557 37.554;cafe
Zамания, семейный парк приключений;+7 (495) 191-01-15, +7 (495) 191-45-09, +7 (495) 120-40-68, +7 (495) 150-37-35;;ул. Поляны, 8, Москва;zamania.ru;55.566 37.556;cafe
Cofefest, кофейня;+7 (495) 212-10-59;;Куликовская ул., 1Б, Москва;cofefest.ru;55.572 37.565;cafe
Meatgrinder;+7 (495) 984-26-77, +7 (495) 118-29-47;+7 (939) 841-88-06;ул. Грина, 11, Москва;meat-grinder.ru;55.568 37.567;cafe
Буханка;;+7 (906) 033-17-04;ул. Поляны, 5А, корп. 1, Москва;buhanka.ru;55.555 37.555;cafe
Буханка, пекарня;;+7 (909) 670-50-30, +7 (925) 688-61-19;ул. Поляны, 5, Москва;buhanka.ru;55.558 37.555;cafe
Пицца & Суши;;+7 (926) 822-22-33;ул. Поляны, 5, Москва;pitstsasushi.clients.site;55.558 37.555;cafe
Красный чай, кафе;;+7 (909) 164-98-33, +7 (977) 891-21-05;ул. Поляны, 5, Москва;krasnychai.wixsite.com;55.559 37.555;cafe
Il casinaro pizzeria;;+7 (995) 113-69-42;ул. Поляны, 5А, корп. 1, Москва;ilcasinaropizza.ru;55.556 37.555;cafe
Здрасте, кофейня;;+7 (916) 777-42-20;ул. Поляны, 5А, корп. 1, Москва;zdrastecafe.ru;55.555 37.556;cafe
Восточный пекарь;;+7 (919) 950-08-00;ул. Поляны, 8, Москва;hlebs.ru;55.565 37.557;cafe
СУШИ СЕТ;+7 (495) 150-55-22;+7 (977) 875-48-41;ул. Знаменские Садки, 1Б, Москва;setsushi.ru , clck.ru;55.571 37.574;cafe
Кахетия, хинкальная;+7 (495) 714-99-54;+7 (925) 808-08-07;Коктебельская ул., 4А, Москва;kahetia.cafe;55.566 37.584;cafe
KFC, ресторан быстрого обслуживания;;+7 (963) 630-54-15;бул. Дмитрия Донского, 2, корп. 1, Москва;kfc.ru;55.570 37.576;cafe
Ля фантази, кулинария;+7 (711) 601-60-71, +7 (495) 374-75-10;+7 (926) 967-48-29, +7 (916) 279-16-24;бул. Дмитрия Донского, 2, корп. 1, Москва;lafantasi.ru;55.570 37.576;cafe
АндерСон, семейное кафе-кондитерская;+7 (495) 739-49-79, +7 (495) 221-93-63;+7 (903) 726-63-40;Феодосийская ул., 7, корп. 3, Москва;cafe-anderson.ru;55.561 37.577;cafe
KFC;;+7 (936) 666-96-73;Старокачаловская ул., 5А, Москва;kfc.ru;55.570 37.579;cafe
Cofix;;+7 (926) 069-58-47, +7 (977) 914-77-49;Старокачаловская ул., 5А, Москва;cofix.ru , cofix.global;55.570 37.579;cafe
Пронто;+7 (495) 505-57-57;+7 (926) 907-18-58;Старокачаловская ул., 1Б, Москва;pronto24.ru , pronto-pizza.ru;55.569 37.586;cafe
Суши бар Базаролл;+7 (495) 143-15-60;+7 (901) 545-60-85, +7 (901) 545-85-60;Россия, Москва, поселение Сосенское, проспект Магеллана, 2;bazaroll.ru;55.591 37.448;cafe
Мичурин;+7 (495) 998-02-02;;Садовая ул., 1, корп. 1, д. Зимёнки, коттеджный посёлок Антоновка;michurinrest.com;55.573 37.392;cafe
