Храм Царственных Мучеников и Страстотерпцев в Южном Измайлово, Подворье Патриарха Московского и Всея Руси;;+7 (967) 272-33-77, +7 (903) 116-02-31;шоссе Энтузиастов, вл57а;tsarstvenny-hram.ru , царственныйхрам.рф;55.775 37.831;church
Храм Святых Мучениц Веры, Надежды, Любови и Софии на Миусском кладбище;+7 (495) 618-82-51, +7 (495) 689-63-59, +7 (528) 056-90-00, +7 (495) 656-29-10;+7 (915) 025-51-70;ул. Сущёвский Вал, 21, стр. 1, Москва;вера-надежда.рф , st-vera.moseparh.ru , troitseparaskevo.ru , troitse-paraskevo.ru;55.794 37.598;church
Православный храм в честь Апостола и Евангелиста Иоана Богослова;;+7 (903) 682-23-86, +7 (968) 007-69-23, +7 (968) 578-37-43;15-я Парковая улица, 28а;hramsvelisaveta.moseparh.ru;55.802 37.819;church
Патриаршее Подворье при Храме Святого Апостола Андрея Первозванного в Метрогородке;;+7 (985) 995-76-75, +7 (903) 753-40-27;Открытое ш., вл31, Москва;;55.829 37.766;church
Храм Преподобного Сергия Радонежского в Гольяново;;+7 (926) 715-98-05, +7 (926) 546-81-44, +7 (926) 264-76-88, +7 (960) 157-44-52, +7 (906) 763-25-64, +7 (985) 146-21-74, +7 (916) 318-22-49;Красноярская улица, вл11;храмсергиявгольяново.рф;55.824 37.833;church
Храм Преподобного Сергия Радонежского в Тушине;;+7 (916) 741-95-21;ул. Василия Петушкова, 4, Москва;sergiy-tushino.ru;55.836 37.406;church
Храм Святого Царя-мученика Николая II и всех новомучеников и исповедников российских;+7 (495) 450-59-18;;Головинское ш., 13А, Москва;st-rexnikolas.ru , rpac.ru , st-rexnikolas.com , st-rexnikolas.narod.ru;55.839 37.502;church
Церковь святого праведного Алексия, пресвитера Московского в Бескудникове;;+7 (917) 547-83-09, +7 (915) 219-04-13;3-й Нижнелихоборский пр., вл1, Москва;prav-alexey.ru;55.846 37.560;church
Храм Кирилла и Марии Радонежских;;+7 (916) 795-53-97;Вилиса Лациса, 2 ст7;кирилл-мария-тушино.москва , kosma-idamian-tushino.ru;55.866 37.432;church
Храм священномученика Владимира, митрополита Киевского и Галицкого в Свиблове;+7 (499) 186-94-47;+7 (916) 357-44-49;Новый Берингов проезд, 1 к1;troitsasviblovo.ru;55.857 37.658;church
